stage,lag,n_examples,raw_mean,raw_sample_std,centered_mean,centered_sample_std
vision_block_early,1,77,0.9957060094134695,0.004423584044380327,0.15265898931978508,0.25414617214682406
vision_block_early,2,77,0.9953081335680296,0.004589647418105602,0.10152828894574766,0.19231216984319718
vision_block_early,3,77,0.9947698360790378,0.005331083688111287,-0.031944361555419534,0.24083054056577782
vision_block_early,4,77,0.994590111382828,0.005444931401677178,-0.07772429767863709,0.2855485491289556
vision_block_early,5,77,0.9945746642966222,0.004952928523638622,-0.11773055835640503,0.2896754789304624
vision_block_early,6,77,0.9947628193831886,0.004856359542230409,-0.10817994285318595,0.30722445363102674
vision_block_early,7,77,0.9947354372502897,0.005013714389170034,-0.08622517553035838,0.37034667966089596
vision_block_early,8,38,0.9915771652466983,0.005390997463171993,0.0270484163161147,0.13958559698071024
vision_block_early,9,38,0.9919259067524286,0.00473225369627153,0.054614912115707966,0.13919125323087106
vision_block_early,10,37,0.9917033170013388,0.004793479726870183,0.04683772954694207,0.10026192049261778
vision_block_early,11,37,0.9917047527182713,0.004023573604925686,0.013430198282022854,0.11746666955078824
vision_block_early,12,37,0.9914509276923109,0.004734600401631733,-0.00870860311381631,0.18606572975619826
vision_block_early,13,37,0.9916952272682651,0.004292848277965649,0.0019489354774316502,0.1588777392065469
vision_block_early,14,36,0.9912947970875997,0.005344449586600482,-0.014131708567854534,0.093812320810232
vision_block_early,15,36,0.9914198346814173,0.004851966382837045,-0.0016998217171001317,0.1507884121577176
vision_block_early,16,35,0.9911174514839912,0.005088304233887324,-0.016977151293997315,0.09737163486704226
vision_block_early,17,35,0.9908444898000459,0.00575242336296782,-0.03182409099602468,0.0790863157835819
vision_block_early,18,35,0.990812569866591,0.005332690892373592,-0.04653169956693809,0.07740738198648657
vision_block_early,19,35,0.9907272186518602,0.005457742192690953,-0.04944651267338657,0.08155818370580434
vision_block_early,20,35,0.9906385253958172,0.005357983177003071,-0.05178066090825203,0.08405239448613729
