question_id,question_type,category,source_video_id,duration_seconds,duration_bucket,stage,source_order,canonical_order_recovered,num_temporal_bins,embedding_dim,raw_adjacent_mean,raw_nonadjacent_mean,raw_far_mean,raw_adjacent_advantage_vs_nonadjacent,raw_adjacent_advantage_vs_far,centered_adjacent_mean,centered_nonadjacent_mean,centered_far_mean,centered_adjacent_advantage_vs_nonadjacent,centered_adjacent_advantage_vs_far,mean_adjacent_unit_l2,mean_nonadjacent_unit_l2,adjacent_to_nonadjacent_l2_ratio,nearest_neighbor_is_adjacent_fraction,effective_rank,stable_rank,pc1_variance_fraction,temporal_variance,final_top_bin,final_top1_temporal_bin_mass,final_normalized_temporal_entropy,final_bins_to_80pct_mass,final_absolute_visual_mass,top_bin_is_first,top_bin_is_boundary
fine_grained_action_localization_1388,fine_grained_action_localization,fine_grained,P01-20240203-121517,316.43,long,vision_block_early,window,True,64,1280,0.9957106908302659,0.9924249928532073,0.9920228632739058,0.003285697977058577,0.0036878275563601015,0.4469005025972689,-0.028510386846219732,-0.1314476653884345,0.47541088944348864,0.5783481679857034,0.08311227085626734,0.11566020853546169,0.7185900138748662,0.140625,4.899364256801117,1.818755122324322,0.5498266301633976,0.8959830542580248,62,0.05568075794686928,0.9043999512459324,28,0.573900842368346,False,False
fine_grained_action_localization_1388,fine_grained_action_localization,fine_grained,P01-20240203-121517,316.43,long,vision_block_middle,window,True,64,1280,0.9810281475347324,0.9628216505171704,0.9564870136775354,0.01820649701756205,0.02454113385719703,0.4651268645985621,-0.03088584995001653,-0.1948197956580562,0.49601271454857865,0.6599466602566183,0.18960184368462765,0.2683718625379821,0.7064892790606679,0.59375,20.538801691595285,3.8075326185530005,0.2626372772559558,15.849365343256238,62,0.05568075794686928,0.9043999512459324,28,0.573900842368346,False,False
fine_grained_action_localization_1388,fine_grained_action_localization,fine_grained,P01-20240203-121517,316.43,long,vision_block_late,window,True,64,1280,0.9999751894790534,0.9999546545124419,0.9999459600761705,2.0534966611474026e-05,2.922940288285769e-05,0.17999393225424337,-0.005496045485921525,-0.014529670648655945,0.1854899777401649,0.19452360290289933,0.006899208677014341,0.00937352758238727,0.736031191712484,0.5,1.1362169364428705,1.0158025950844183,0.9844432420621008,30386.137877919857,62,0.05568075794686928,0.9043999512459324,28,0.573900842368346,False,False
fine_grained_action_localization_1388,fine_grained_action_localization,fine_grained,P01-20240203-121517,316.43,long,vision_merger_pre_reverse,window,True,64,3584,0.9578066941314852,0.9218085351425261,0.906787137860563,0.035998158988959084,0.05101955627092225,0.4390336998328263,-0.029570275423247302,-0.216230460854241,0.4686039752560736,0.6552641606870673,0.2845904313332204,0.3889390825417651,0.7317095249811014,0.5625,20.976333787280996,3.3476731621193747,0.2987149436556438,43.38428244523679,62,0.05568075794686928,0.9043999512459324,28,0.573900842368346,False,False
fine_grained_action_localization_1388,fine_grained_action_localization,fine_grained,P01-20240203-121517,316.43,long,vision_final,canonical,False,64,3584,0.9578066941314852,0.9218085351425261,0.906787137860563,0.035998158988959084,0.05101955627092225,0.4390336998328263,-0.029570275423247302,-0.216230460854241,0.4686039752560736,0.6552641606870673,0.2845904313332204,0.3889390825417651,0.7317095249811014,0.5625,20.976333787280996,3.3476731621193747,0.2987149436556438,43.38428244523679,62,0.05568075794686928,0.9043999512459324,28,0.573900842368346,False,False
fine_grained_action_localization_1515,fine_grained_action_localization,fine_grained,P04-20240414-165333,553.2189999999999,long,vision_block_early,window,True,64,1280,0.9961760927060829,0.994674670330356,0.9941671799286927,0.001501422375726924,0.002008912777390126,0.3008662060195887,-0.01882875392265147,-0.059928257861753306,0.3196949599422402,0.360794463881342,0.07620954298417401,0.0935011788631961,0.8150650495613332,0.171875,4.78211029118145,1.6788789825495802,0.5956355463342446,0.6189652949250375,51,0.05878050039197327,0.8989167632461733,27,0.6059028144171896,False,False
fine_grained_action_localization_1515,fine_grained_action_localization,fine_grained,P04-20240414-165333,553.2189999999999,long,vision_block_middle,window,True,64,1280,0.9820194396065518,0.9713685037113733,0.9681697143928122,0.010650935895178515,0.013849725213739617,0.31532947671528583,-0.020626635954329457,-0.06553679303912147,0.3359561126696153,0.3808662697544073,0.18465044605824776,0.23251267305684833,0.7941521794517478,0.53125,25.336640627315433,5.291741362211371,0.1889737104577819,11.24674063109224,51,0.05878050039197327,0.8989167632461733,27,0.6059028144171896,False,False
fine_grained_action_localization_1515,fine_grained_action_localization,fine_grained,P04-20240414-165333,553.2189999999999,long,vision_block_late,window,True,64,1280,0.999983107962682,0.999974103918049,0.9999703759506653,9.004044632998642e-06,1.2732012016680727e-05,0.31042967465421106,-0.010094079748925039,-0.030821887059415867,0.3205237544031361,0.3412515617136269,0.005618552362811998,0.006898095264461442,0.8145077948920814,0.4375,1.0472723807238835,1.004826001211304,0.9951971772172632,66264.63967910878,51,0.05878050039197327,0.8989167632461733,27,0.6059028144171896,False,False
fine_grained_action_localization_1515,fine_grained_action_localization,fine_grained,P04-20240414-165333,553.2189999999999,long,vision_merger_pre_reverse,window,True,64,3584,0.9660741798424508,0.9470986195934491,0.940951600232927,0.01897556024900171,0.0251225796095238,0.29827652238977015,-0.01786410772806992,-0.0639124659760414,0.31614063011784005,0.36218898836581154,0.2527387885337994,0.31333394683199084,0.8066115755702574,0.515625,23.506809429377274,4.119186619844431,0.24276637411435537,27.848979553052338,51,0.05878050039197327,0.8989167632461733,27,0.6059028144171896,False,False
fine_grained_action_localization_1515,fine_grained_action_localization,fine_grained,P04-20240414-165333,553.2189999999999,long,vision_final,canonical,False,64,3584,0.9660741798424508,0.9470986195934491,0.940951600232927,0.01897556024900171,0.0251225796095238,0.29827652238977015,-0.01786410772806992,-0.0639124659760414,0.31614063011784005,0.36218898836581154,0.2527387885337994,0.31333394683199084,0.8066115755702574,0.515625,23.506809429377274,4.119186619844431,0.24276637411435537,27.848979553052338,51,0.05878050039197327,0.8989167632461733,27,0.6059028144171896,False,False
