stage,lag,n_examples,raw_mean,raw_sample_std,centered_mean,centered_sample_std
vision_block_early,1,8,0.9953693077406687,0.0028645255106955142,0.3284769245766683,0.2597463796760384
vision_block_early,2,8,0.9935247506553637,0.002835917115231659,0.10568659920243963,0.17014913628841216
vision_block_early,3,8,0.9926887051238084,0.0026606511670450015,-0.012095754232547976,0.07289646740739046
vision_block_early,4,8,0.9913784407509527,0.0026766324088425514,-0.18863524755613065,0.10469377065367894
vision_block_early,5,8,0.9907287722072836,0.0023708970147332032,-0.2847099284151041,0.17834705350931887
vision_block_early,6,8,0.9909851119947765,0.0018946438808417993,-0.26808116530213866,0.2121813074460228
vision_block_early,7,8,0.9912180259607603,0.0018435965831089783,-0.2537981041991887,0.22693726753356688
vision_block_early,8,8,0.9913314121373437,0.0027433629310356527,-0.23603784568617447,0.3075340513071715
vision_block_early,9,8,0.9910568064851495,0.004600092737190002,-0.2102386856615747,0.2943695334448237
vision_block_early,10,8,0.9918270110837853,0.005765910989325061,-0.10425640188858724,0.30663555644850754
vision_block_early,11,8,0.9923990546122321,0.005419441463359367,-0.01519865485153438,0.24180629306837423
vision_block_early,12,8,0.9927244415618022,0.004304479412215459,0.1273499124511912,0.26628262487978405
vision_block_early,13,8,0.9921006762192089,0.004627520790709557,0.11286360015802643,0.4156980275736784
vision_block_early,14,8,0.9930534079172161,0.00361947218122456,0.10103712111445273,0.4995256864151362
vision_block_early,15,8,0.9935073194012289,0.0046992531722205395,0.23012221340188718,0.46589989046856856
vision_block_middle,1,8,0.9648853284684095,0.015493007202379398,0.22758276215484707,0.17738796446603092
vision_block_middle,2,8,0.9561482028252573,0.01375304186201473,0.033980102366884,0.09889216426991757
vision_block_middle,3,8,0.9527537197053157,0.014553280320295856,-0.04968202241337563,0.04820330966312876
vision_block_middle,4,8,0.9493287281154924,0.016084156531138857,-0.11042832320798472,0.0877876818298094
vision_block_middle,5,8,0.946740614831791,0.016694626536091883,-0.17525817065424792,0.10959402460156925
vision_block_middle,6,8,0.9460708554402562,0.01740835369164382,-0.1859968911761904,0.13284737569335106
vision_block_middle,7,8,0.9457835262027093,0.01712556936022168,-0.18629561716498147,0.07506763971999911
vision_block_middle,8,8,0.9462458221247753,0.014881504507978887,-0.1745915907070776,0.0788629836442261
vision_block_middle,9,8,0.9452689820027123,0.01682653086525433,-0.18268571893677032,0.07853864491793543
vision_block_middle,10,8,0.9478638485308587,0.020931378320077337,-0.09924126345010155,0.1526632836342362
vision_block_middle,11,8,0.9486661068888294,0.0209939270018655,-0.0544872791343773,0.1685743375769565
vision_block_middle,12,8,0.9492321330655527,0.020541971600311546,-0.03704080699318886,0.17693274107252083
vision_block_middle,13,8,0.9460674305017014,0.019666820993981364,-0.06848555264379798,0.14972826406661716
vision_block_middle,14,8,0.948073278653961,0.016427053752832436,-0.008221226569118343,0.24846665744617724
vision_block_middle,15,8,0.9500645542390042,0.0228842909080171,0.06599419227282607,0.31862042209650776
vision_block_late,1,8,0.999954005907195,1.883567891060612e-05,0.07345730178264741,0.2238466400360399
vision_block_late,2,8,0.9999463259833451,1.5158657966733692e-05,-0.028524996879057022,0.21858061558092062
vision_block_late,3,8,0.9999437841020751,1.4159985495368788e-05,-0.061913644621802544,0.14889070620300854
vision_block_late,4,8,0.9999403416052409,1.3530947726619516e-05,-0.10485927020558408,0.25887545389194205
vision_block_late,5,8,0.9999385019074999,1.3692416747618335e-05,-0.15084700718834376,0.13721757970338874
vision_block_late,6,8,0.9999362172950002,1.4971517957692175e-05,-0.14444449236469092,0.3435620233638148
vision_block_late,7,8,0.9999339976774299,1.5759117839920394e-05,-0.09025836240785881,0.27721023027511205
vision_block_late,8,8,0.9999344260432058,1.3507944303630212e-05,-0.10464344661618442,0.27198801246163234
vision_block_late,9,8,0.9999320937684881,1.412626138331158e-05,-0.0124844829486906,0.2917142142605074
vision_block_late,10,8,0.9999343754217206,1.6846770452335574e-05,0.08865469954942869,0.3494575500494608
vision_block_late,11,8,0.9999339803685257,1.9057223690619556e-05,-0.10984422967557543,0.28176394261485027
vision_block_late,12,8,0.9999291543259394,2.420061877713068e-05,-0.0029306902217367883,0.47886188147723285
vision_block_late,13,8,0.9999307379597868,1.8346969425503245e-05,0.2968599142310341,0.41867322293402504
vision_block_late,14,8,0.9999321602883888,1.6847119641635882e-05,-0.09939870655973848,0.6591394501980802
vision_block_late,15,8,0.9999356903442403,2.9844562317687505e-05,0.3495899528986661,0.7889769838237433
vision_merger_pre_reverse,1,8,0.9326033681554344,0.028821368629527687,0.21050485083078693,0.19436684133286536
vision_merger_pre_reverse,2,8,0.919103262112211,0.024749577183575254,0.03523338093421422,0.11578375825876212
vision_merger_pre_reverse,3,8,0.9152391538074389,0.022891805893086724,-0.027072110458885856,0.06088040145498513
vision_merger_pre_reverse,4,8,0.9092826182844985,0.023078502902219522,-0.10560572465079086,0.07978359889882315
vision_merger_pre_reverse,5,8,0.9066584260163483,0.024017209213105965,-0.14139605679935072,0.10677294795420281
vision_merger_pre_reverse,6,8,0.9033732738160202,0.024414665382677867,-0.16776626738397798,0.11470286514814061
vision_merger_pre_reverse,7,8,0.8993650536036215,0.024250418126340337,-0.20209548867047145,0.07683870060829745
vision_merger_pre_reverse,8,8,0.9002557273906553,0.022008139292339784,-0.17442520646773796,0.12807049116357416
vision_merger_pre_reverse,9,8,0.8964860100587855,0.022141460178838054,-0.2010238655181534,0.09416548032502103
vision_merger_pre_reverse,10,8,0.9010486523922876,0.025101087986992704,-0.12100334341833256,0.14433585229679513
vision_merger_pre_reverse,11,8,0.9001440191570534,0.029400377077871714,-0.08520211015920758,0.1737561171620103
vision_merger_pre_reverse,12,8,0.8944948593359365,0.03149830917795503,-0.09723553442540055,0.18328542604590928
vision_merger_pre_reverse,13,8,0.8976090319423712,0.021481040413974594,-0.04773078994288033,0.20916005864607032
vision_merger_pre_reverse,14,8,0.8990386883625967,0.019278789043406564,-0.004726514769093949,0.30134831909614895
vision_merger_pre_reverse,15,8,0.9005362061196669,0.031680031913449695,0.06764920267566185,0.3251506252019039
vision_final,1,8,0.9326033681554344,0.028821368629527687,0.21050485083078693,0.19436684133286536
vision_final,2,8,0.919103262112211,0.024749577183575254,0.03523338093421422,0.11578375825876212
vision_final,3,8,0.9152391538074389,0.022891805893086724,-0.027072110458885856,0.06088040145498513
vision_final,4,8,0.9092826182844985,0.023078502902219522,-0.10560572465079086,0.07978359889882315
vision_final,5,8,0.9066584260163483,0.024017209213105965,-0.14139605679935072,0.10677294795420281
vision_final,6,8,0.9033732738160202,0.024414665382677867,-0.16776626738397798,0.11470286514814061
vision_final,7,8,0.8993650536036215,0.024250418126340337,-0.20209548867047145,0.07683870060829745
vision_final,8,8,0.9002557273906553,0.022008139292339784,-0.17442520646773796,0.12807049116357416
vision_final,9,8,0.8964860100587855,0.022141460178838054,-0.2010238655181534,0.09416548032502103
vision_final,10,8,0.9010486523922876,0.025101087986992704,-0.12100334341833256,0.14433585229679513
vision_final,11,8,0.9001440191570534,0.029400377077871714,-0.08520211015920758,0.1737561171620103
vision_final,12,8,0.8944948593359365,0.03149830917795503,-0.09723553442540055,0.18328542604590928
vision_final,13,8,0.8976090319423712,0.021481040413974594,-0.04773078994288033,0.20916005864607032
vision_final,14,8,0.8990386883625967,0.019278789043406564,-0.004726514769093949,0.30134831909614895
vision_final,15,8,0.9005362061196669,0.031680031913449695,0.06764920267566185,0.3251506252019039
