question_id,question_type,category,source_video_id,duration_seconds,duration_bucket,stage,source_order,canonical_order_recovered,num_temporal_bins,embedding_dim,raw_adjacent_mean,raw_nonadjacent_mean,raw_far_mean,raw_adjacent_advantage_vs_nonadjacent,raw_adjacent_advantage_vs_far,centered_adjacent_mean,centered_nonadjacent_mean,centered_far_mean,centered_adjacent_advantage_vs_nonadjacent,centered_adjacent_advantage_vs_far,mean_adjacent_unit_l2,mean_nonadjacent_unit_l2,adjacent_to_nonadjacent_l2_ratio,nearest_neighbor_is_adjacent_fraction,effective_rank,stable_rank,pc1_variance_fraction,temporal_variance,final_top_bin,final_top1_temporal_bin_mass,final_normalized_temporal_entropy,final_bins_to_80pct_mass,final_absolute_visual_mass,top_bin_is_first,top_bin_is_boundary
fine_grained_action_localization_2669,fine_grained_action_localization,fine_grained,P02-20240211-120927,490.24,long,vision_block_early,window,True,16,1280,0.99499747780797,0.9910287924462602,0.9925344938098419,0.003968685361709801,0.0024629839981280544,0.41734086277410226,-0.12540545151201601,-0.134610007603296,0.5427463142861183,0.5519508703773983,0.08332787826272149,0.12290954548206125,0.677960999171405,0.5,2.8292234773522655,1.3887233321233858,0.7200858348588267,1.0202443737950293,2,0.1703770958841148,0.9125609883964054,10,0.19822522207824633,False,False
fine_grained_action_localization_2669,fine_grained_action_localization,fine_grained,P02-20240211-120927,490.24,long,vision_block_middle,window,True,16,1280,0.946147199112383,0.9214938536503972,0.9147945017817626,0.02465334546198583,0.031352697330620405,0.22785821987265198,-0.10157573016304879,-0.1774994894496015,0.32943395003570075,0.40535770932225346,0.31579111643214786,0.38696424377502636,0.8160731166049099,0.375,8.193378471407986,2.471774374883806,0.404567670156791,25.884192836795314,2,0.1703770958841148,0.9125609883964054,10,0.19822522207824633,False,False
fine_grained_action_localization_2669,fine_grained_action_localization,fine_grained,P02-20240211-120927,490.24,long,vision_block_late,window,True,16,1280,0.9999332949898341,0.9999208676219157,0.9999091846628655,1.242736791839949e-05,2.411032696858495e-05,-0.022396127629914022,-0.055901883708089545,-0.05388771861430147,0.03350575607817552,0.031491590984387446,0.010983012644163551,0.012299898799632282,0.892935204027199,0.3125,1.1728381394712561,1.0235459510946447,0.9769957068664449,31400.897497942893,2,0.1703770958841148,0.9125609883964054,10,0.19822522207824633,False,False
fine_grained_action_localization_2669,fine_grained_action_localization,fine_grained,P02-20240211-120927,490.24,long,vision_merger_pre_reverse,window,True,16,3584,0.907255504684282,0.8856914507937074,0.872207226005938,0.021564053890574586,0.035048278678343925,0.11727456517978598,-0.08119982241444208,-0.12103497516684472,0.19847438759422806,0.2383095403466307,0.41426540168034137,0.4673102280879065,0.8864890532685136,0.3125,9.344934444047253,3.0772763961208547,0.3249626849445755,69.24954014606175,2,0.1703770958841148,0.9125609883964054,10,0.19822522207824633,False,False
fine_grained_action_localization_2669,fine_grained_action_localization,fine_grained,P02-20240211-120927,490.24,long,vision_final,canonical,False,16,3584,0.907255504684282,0.8856914507937074,0.872207226005938,0.021564053890574586,0.035048278678343925,0.11727456517978598,-0.08119982241444208,-0.12103497516684472,0.19847438759422806,0.2383095403466307,0.41426540168034137,0.4673102280879065,0.8864890532685136,0.3125,9.344934444047253,3.0772763961208547,0.3249626849445755,69.24954014606175,2,0.1703770958841148,0.9125609883964054,10,0.19822522207824633,False,False
fine_grained_action_recognition_8348,fine_grained_action_recognition,fine_grained,P09-20240623-120359,3.5,short,vision_block_early,window,True,16,1280,0.9972949909667448,0.9919316633747141,0.993817110649881,0.005363327592030731,0.0034778803168638017,0.6176810173334638,-0.13695890555059087,0.080373570781755,0.7546399228840547,0.5373074465517088,0.06429286098433382,0.12043493204185775,0.5338389775649852,0.8125,3.5504751524394664,1.9350226838941713,0.5167898073357631,0.8278143744061899,0,0.2132765342718436,0.9423026676403166,11,0.1707549709614895,True,True
fine_grained_action_recognition_8348,fine_grained_action_recognition,fine_grained,P09-20240623-120359,3.5,short,vision_block_middle,window,True,16,1280,0.9781022683285734,0.9539980784210096,0.9516688945334347,0.0241041899075638,0.02643337379513866,0.4758255246769135,-0.14068046634486586,-0.2216194032001038,0.6165059910217794,0.6974449278770173,0.2030518289939706,0.29978584614097364,0.6773229343805841,0.8125,9.120807312175081,4.4750792816450335,0.2234597282112064,20.354110427790275,0,0.2132765342718436,0.9423026676403166,11,0.1707549709614895,True,True
fine_grained_action_recognition_8348,fine_grained_action_recognition,fine_grained,P09-20240623-120359,3.5,short,vision_block_late,window,True,16,1280,0.9999740310209013,0.9999437785556027,0.9999315261245322,3.025246529864134e-05,4.250489636914434e-05,0.4666116896365889,-0.1265937694986057,0.08008157666994535,0.5932054591351946,0.3865301129666435,0.00707955975331698,0.010450654725403328,0.677427389894345,0.75,1.185261386733676,1.0260154417492453,0.9746442005737342,20090.15575392725,0,0.2132765342718436,0.9423026676403166,11,0.1707549709614895,True,True
fine_grained_action_recognition_8348,fine_grained_action_recognition,fine_grained,P09-20240623-120359,3.5,short,vision_merger_pre_reverse,window,True,16,3584,0.9662619640367155,0.9232133227405992,0.9060769193394556,0.0430486412961163,0.06018504469725994,0.4962103380803531,-0.1432527218877939,-0.3175357734772172,0.639463059968147,0.8137461115575703,0.2524093726356376,0.3858612492403855,0.6541454295618851,0.875,7.951484325294656,3.0961204741532122,0.3229848477629087,51.18822017384346,0,0.2132765342718436,0.9423026676403166,11,0.1707549709614895,True,True
fine_grained_action_recognition_8348,fine_grained_action_recognition,fine_grained,P09-20240623-120359,3.5,short,vision_final,canonical,False,16,3584,0.9662619640367155,0.9232133227405992,0.9060769193394556,0.0430486412961163,0.06018504469725994,0.4962103380803531,-0.1432527218877939,-0.3175357734772172,0.639463059968147,0.8137461115575703,0.2524093726356376,0.3858612492403855,0.6541454295618851,0.875,7.951484325294656,3.0961204741532122,0.3229848477629087,51.18822017384346,0,0.2132765342718436,0.9423026676403166,11,0.1707549709614895,True,True
