cohort,question_id,participant_id,source_video_id,category,question_type,anchor_layer,target_layer,distance_from_anchor,anchor_native_temporal_entropy,native_retained_target_layer_mass,native_oracle_top50_target_layer_mass,reuse_efficiency,native_source_target_top2_jaccard,native_source_target_spearman,selected_native_unit_ids,selected_analysis_bins,selected_units_adjacent,normalized_temporal_coverage_span,contains_first_unit,contains_last_unit,descriptive_eight_bin_anchor_entropy,descriptive_eight_bin_retained_mass,descriptive_eight_bin_top4_oracle_mass
development,fine_grained_action_localization_5424,P06,P06-20240510-135423,fine_grained,fine_grained_action_localization,8,11,3,0.9435815714791307,0.6878282418564327,0.6878282418564327,1.0,1.0,0.7999999999999999,0 2,0 1 4 5,False,0.75,True,False,0.9623877143166052,0.6878282418524042,0.6878282418524042
development,fine_grained_action_localization_5424,P06,P06-20240510-135423,fine_grained,fine_grained_action_localization,12,13,1,0.9721072234861299,0.5885675259689612,0.5885675259689612,1.0,1.0,1.0,0 2,0 1 4 5,False,0.75,True,False,0.9814048156552394,0.5885675259670033,0.5885675259670033
development,fine_grained_action_localization_5424,P06,P06-20240510-135423,fine_grained,fine_grained_action_localization,12,14,2,0.9721072234861299,0.6523578714603043,0.6523578714603043,1.0,1.0,1.0,0 2,0 1 4 5,False,0.75,True,False,0.9814048156552394,0.6523578714578248,0.6523578714578248
development,fine_grained_action_localization_5424,P06,P06-20240510-135423,fine_grained,fine_grained_action_localization,12,15,3,0.9721072234861299,0.5791656606460345,0.5791656606460345,1.0,1.0,0.7999999999999999,0 2,0 1 4 5,False,0.75,True,False,0.9814048156552394,0.5791656606434661,0.5791656606434661
development,fine_grained_action_localization_5424,P06,P06-20240510-135423,fine_grained,fine_grained_action_localization,16,17,1,0.9449711574701553,0.5448570410214476,0.5559826359592333,0.9799893122226907,0.3333333333333333,0.39999999999999997,0 3,0 1 6 7,False,1.0,True,True,0.9633141049783497,0.5448570410190167,0.5559826359567527
development,fine_grained_action_localization_5424,P06,P06-20240510-135423,fine_grained,fine_grained_action_localization,16,18,2,0.9449711574701553,0.540185748503148,0.540185748503148,1.0,1.0,0.6000000000000001,0 3,0 1 6 7,False,1.0,True,True,0.9633141049783497,0.5401857485005743,0.5401857485005743
development,fine_grained_action_localization_5424,P06,P06-20240510-135423,fine_grained,fine_grained_action_localization,16,19,3,0.9449711574701553,0.5803754845594236,0.5948185985800876,0.9757184559206089,0.3333333333333333,0.39999999999999997,0 3,0 1 6 7,False,1.0,True,True,0.9633141049783497,0.5803754845570352,0.5948185985776399
development,fine_grained_action_localization_5424,P06,P06-20240510-135423,fine_grained,fine_grained_action_localization,20,21,1,0.9775967816825073,0.633217551568855,0.633217551568855,1.0,1.0,0.7999999999999999,0 1,0 1 2 3,True,0.5,True,False,0.9850645211192895,0.6332175515650983,0.6332175515650983
development,fine_grained_action_localization_5424,P06,P06-20240510-135423,fine_grained,fine_grained_action_localization,20,22,2,0.9775967816825073,0.6434550244361211,0.6434550244361211,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9850645211192895,0.6434550244313321,0.6434550244313321
development,fine_grained_action_localization_5424,P06,P06-20240510-135423,fine_grained,fine_grained_action_localization,20,23,3,0.9775967816825073,0.5655731338413776,0.5867603151893432,0.9638912503120995,0.3333333333333333,0.7999999999999999,0 1,0 1 2 3,True,0.5,True,False,0.9850645211192895,0.5655731338374888,0.5867603151853087
development,fine_grained_action_localization_5424,P06,P06-20240510-135423,fine_grained,fine_grained_action_localization,24,25,1,0.9727980405275861,0.5528573084322591,0.5742239378330142,0.9627904237475928,0.3333333333333333,0.39999999999999997,0 1,0 1 2 3,True,0.5,True,False,0.9818653603473105,0.5528573084284827,0.5742239378290919
development,fine_grained_action_localization_5424,P06,P06-20240510-135423,fine_grained,fine_grained_action_localization,24,26,2,0.9727980405275861,0.6329679985245141,0.6329679985245141,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9818653603473105,0.6329679985205284,0.6329679985205284
development,fine_grained_action_localization_5424,P06,P06-20240510-135423,fine_grained,fine_grained_action_localization,24,27,3,0.9727980405275861,0.5533454244148921,0.6879310606151076,0.8043617392709715,0.3333333333333333,0.7999999999999999,0 1,0 1 2 3,True,0.5,True,False,0.9818653603473105,0.5533454244124314,0.6879310606120483
development,fine_grained_action_localization_9427,P02,P02-20240211-182630,fine_grained,fine_grained_action_localization,8,9,1,0.977853761653544,0.5858464335059309,0.5858464335059309,1.0,1.0,0.7999999999999999,0 1,0 1 2 3,True,0.5,True,False,0.9852358410991505,0.5858464335027365,0.5858464335027365
development,fine_grained_action_localization_9427,P02,P02-20240211-182630,fine_grained,fine_grained_action_localization,8,10,2,0.977853761653544,0.5228640936951114,0.546159716390498,0.9573465014055881,0.3333333333333333,0.19999999999999998,0 1,0 1 2 3,True,0.5,True,False,0.9852358410991505,0.5228640936903617,0.5461597163855366
development,fine_grained_action_localization_9427,P02,P02-20240211-182630,fine_grained,fine_grained_action_localization,8,11,3,0.977853761653544,0.6074391190738018,0.6074391190738018,1.0,1.0,0.7999999999999999,0 1,0 1 2 3,True,0.5,True,False,0.9852358410991505,0.6074391190698293,0.6074391190698293
development,fine_grained_action_localization_9427,P02,P02-20240211-182630,fine_grained,fine_grained_action_localization,12,13,1,0.9979231425394594,0.5146162711251847,0.5146162711251847,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9986154283572122,0.5146162711230818,0.5146162711230818
